	澳网	法网	温网	美网	奥							
2007	8	32	16	4								
2008	2	16	4	1	3							
2009	4	8	4	1								
2010	4	2	8	4								
2011	8	8	2	4								
2012	1	2	8	1	1							
2013	1	8	4	1								
												
2014	1	1	1	1								
2015	1	1	1	1							1	51
2016	1	1	1	1	1						2	8
2017	1	1	1	1							4	19
2018	1	1	1	1							8	11
2019	1	1	1	1							16	6
2020	2	4	4	1	1						32	1
2021	4	8	4	1								
2022	1	4	4	1								
2023	1	4	4	1								
2024	1	1	1	1	1							
2025	2	4	2	1								
2026	1	16	8	1								
2027	16	8	2	1								
2028	1	1	1	1	1							
2029	4	4	16	1								
2030	1	16	8	1								
												
	14	8	8	21								
	3	2	3	0								
	17	10	11	21								
